Código único,Barrio,Lados de manzana por estrato 1,Lados de manzana por estrato 2,Lados de manzana por estrato 3,Lados de manzana por estrato 4,Lados de manzana por estrato 5,Lados de manzana por estrato 6,Sin vivienda,Estrato moda
101,Terrón Colorado,84,309, -, -, -,2,43,2
102,Vista Hermosa,199,18, -, -, -, -,30,1
196,Patio Bonito,161, -, -, -, -, -,37,1
199,Aguacatal,209,23,4,5,1,4,59,1
201,Santa Rita, -, -, -,2,6,30,3,6
202,Santa Teresita, -, -, -,,2,56,7,6
203,Arboledas,2,6,1,2,2,40,24,6
204,Normandía, -,1,1,1,1,36,36,6
205,Juanambú, -, -,1,9,25,20,14,5
206,Centenario, -, -, -,2,31, -,35,5
207,Granada,1,2,7,141,7,3,51,4
208,Versalles, -, -, -,8,53, -,29,5
209,San Vicente, -, -, -,93,71, -,119,4
210,Santa Mónica, -, -,1,13,138,10,92,5
211,Prados del Norte, -, -,5,26,144, -,112,5
212,La Flora, -, -, -,8,195, -,54,5
213,La Campiña, -, -, -,58,4, -,15,4
214,La Paz, -,5,24,2,1, -,10,3
215,El Bosque,1,3,2,30,86, -,37,5
216,Menga, -,1,1,1, -,16,62,6
217,Ciudad Los Alamos, -, -,110,24, -, -,160,3
218,Chipichape, -, -,-,4,10,1,27,5
219,Brisas de Los Alamos , -, -,124,1, -, -,40,3
293,Urbanización La Merced, -, -, -,140, -, -,35,4
294,Vipasa, -, -, -,286,1, -,98,4
295,Urbanización La Flora,1, -, -,43,100, -,79,5
296,Altos de Menga,99,14,2,1,1, -,14,1
297,Sector Altos Normandía   Batac,10,1, -, -, -, -,43,1
298,Area en desarrollo Parque del Amor, -, -, -, -,12, -,25,5
301,El Nacional,4,14,14, -,1, -,8,2
302,El Peñón, -, -,3,10,50,1,14,5
303,San Antonio, -,7,105, -, -, -,19,3
304,San Cayetano, -,2,128, -, -, -,7,3
305,Los Libertadores, -, -,129, -, -, -,8,3
306,San Juan Bosco, -,1,102, -, -, -,26,3
307,Santa Rosa, -, -,51,2, -, -,19,3
308,La Merced, -, -,28,6, -, -,41,3
309,San Pascual,38,5,17, -, -, -,8,1
310,El Calvario,15,1,16, -, -, -,44,3
311,San Pedro, -, -,20, -, -, -,130,3
312,San Nicolás, -,93,86, -, -, -,130,2
313,El Hoyo, -,4,16,1, -, -,38,3
314,El Piloto,3,18,16, -, -, -,32,2
315,Navarro   La Chanca, -,1,15,8, -, -,7,3
401,Jorge Isaacs, -,82,3, -, -, -,48,2
402,Santander, -,65,29, -, -, -,64,2
403,Porvenir, -,108, -, -, -, -,59,2
404,Las Delicias, -, -,119,1, -, -,58,3
405,Manzanares, -,3,20, -, -, -,47,3
406,Salomia, -,4,241, -, -, -,69,3
407,Fátima, -,21, -, -, -, -,1,2
408,Sultana   Berlín   San Francisco, -,37, -, -, -, -,13,2
410,Popular, -, -,32, -, -, -,15,3
411,Ignacio Rengifo, -,3,52, -, -, -,5,3
412,Guillermo Valencia,18,77,31, -, -, -,22,2
413,La Isla,37,118,1, -, -, -,8,2
